,Price
2018-01-01,69.09
2018-02-01,65.7
2018-03-01,66.68
2018-04-01,71.67
2018-05-01,77.06
2018-06-01,75.94
2018-07-01,75.04
2018-08-01,73.85
2018-09-01,79.09
2018-10-01,80.63
2018-11-01,65.96
2018-12-01,57.67
2019-01-01,60.23
2019-02-01,64.5
2019-03-01,67.05
2019-04-01,71.66
2019-05-01,70.3
2019-06-01,63.05
2019-07-01,64.19
2019-08-01,59.47
2019-09-01,62.29
2019-10-01,59.63
2019-11-01,62.71
2019-12-01,65.17
2020-01-01,63.67
2020-02-01,55.53
2020-03-01,33.73
2020-04-01,26.63
2020-05-01,32.11
2020-06-01,40.77
2020-07-01,43.24
2020-08-01,45.04
2020-09-01,41.87
2020-10-01,41.36
2020-11-01,43.98
2020-12-01,50.23
2021-01-01,55.33
2021-02-01,62.27
2021-03-01,65.84
2021-04-01,65.33
2021-05-01,68.34
2021-06-01,73.35
2021-07-01,74.29
2021-08-01,70.51
2021-09-01,74.88
2021-10-01,83.75
2021-11-01,80.75
2021-12-01,74.8
