Date,Interest Rate,Dollar Rate,Euro Rate,Pound Rate,GCB Monthly Value Traded(GH¢),CAL Monthly Value Traded(GH¢),Access Monthly Value Traded(GH¢),SCB Monthly Value Traded(GH¢),SOGEGH Monthly Value Traded(GH¢)
2019-01-01,14.65,4.8947,5.5868,6.3142,83105.2381,79880.4762,1060.8571,62255.4429,4765.7619
2019-02-01,14.71,5.0162,5.6913,6.5237,15577.15,18335.85,612.0,48827.765,28065.8
2019-03-01,14.71,5.1797,5.8537,6.8237,47689.1905,13004.1,78.0,28583.715,4108.25
2019-04-01,14.7,5.0864,5.7146,6.6289,510461.25,1682.3,0.0,12279.995,1066.4
2019-05-01,14.85,5.1083,5.7162,6.5582,115612.6818,10136.8636,0.0,8883.1,5885.1818
2019-06-01,14.78,5.2402,5.9208,6.6423,59701.4444,26831.7895,1416.8421,63429.9632,7635.6842
2019-07-01,14.73,5.256,5.8944,6.5538,49379.05,2568.6957,1503.6522,13939.2348,10891.6087
2019-08-01,14.72,5.2712,5.8599,6.4084,41951.5,8608.0,1037.381,42079.5238,9221.619
2019-09-01,14.69,5.3067,5.8417,6.5527,252734.5263,7565.15,728.95,19015.775,1297.0
2019-10-01,14.69,5.3235,5.8847,6.7345,92934.0455,370466.8696,84.2609,19479.5652,4896.6957
2019-11-01,14.69,5.3888,5.9529,6.9414,29545.5217,68395.9524,81.0,278039.3095,7313.0
2019-12-01,14.69,5.5377,6.1564,7.261,73780.2105,88712.1579,201.2105,5584.8316,10340.7895
2020-01-01,14.69,5.5275,6.1303,7.2204,156645.7143,749.8095,85.7143,194966.0,12741.7143
2020-02-01,14.71,5.3194,5.8017,6.8954,998.0,36558.55,0.0,30110.02,4402.9
2020-03-01,14.73,5.3565,5.9123,6.6142,56309.0435,50306.7619,20.9524,6656.481,2492.9524
2020-04-01,14.05,5.5151,5.9942,6.8451,1407.9,36560.05,219.5,9921.565,257.4
2020-05-01,13.95,5.6109,6.1157,6.9,30849.2105,21255.5789,0.0,2447.8947,3640.6316
2020-06-01,13.97,5.6427,6.3529,7.066,296110.5,13508.3636,0.0,67558.4091,2180.2273
2020-07-01,13.95,5.6724,6.4999,7.1854,75278.1429,23729.6818,0.0,4448.8636,1426.0
2020-08-01,14.02,5.6815,6.7248,7.4652,307449.381,361350.95,0.0,8130.0,4404.7
2020-09-01,14.02,5.6971,6.7155,7.3846,12210.1905,7412.0952,0.0,58912.6905,2153.0952
2020-10-01,14.05,5.7054,6.7162,7.4076,1009672.6522,20826.3636,0.0,24741.8136,4849.9091
2020-11-01,14.05,5.712,6.7606,7.5457,46988.4,1225.9048,0.0,367405.7857,26058.0476
2020-12-01,14.08,5.7209,6.9655,7.6876,462996.5789,3329.25,0.0,4464.505,467.6
2021-01-01,14.09,5.7608,7.0048,7.8542,264520.5618,28253.8695,2456.8026,29606.6658,1596.48
2021-02-01,13.55,5.7575,6.963,7.9828,108456.455,30060.7489,0.0,5745.9079,742.5726
2021-03-01,13.02,5.7275,6.8143,7.9365,84547.0911,49434.4225,0.0,9926.205,1630.0275
2021-04-01,12.81,5.7308,6.8676,7.9329,252106.467,485632.629,0.0,8177.0365,4835.2865
2021-05-01,12.78,5.7333,6.9706,8.0839,415590.549,395528.9747,9.4737,22036.59,84394.0163
2021-06-01,12.65,5.7524,6.931,8.0673,79828.0476,125343.7043,511.8876,29971.4667,8281.5638
2021-07-01,12.56,5.7848,6.8414,7.9926,238551.5689,31653.4333,2312.2081,21986.0857,7261.3795
2021-08-01,12.49,5.8264,6.8542,8.0355,195550.5755,107335.6695,23.2667,59259.2571,2625.031
2021-09-01,12.47,5.8592,6.8973,8.0491,86615.4814,167873.4445,1151.7,17163.29,3972.888
2021-10-01,12.46,5.8817,6.8229,8.0553,177644.535,197990.6729,2529.6638,22760.9905,6636.7638
